셀번호,X좌표,Y좌표,행정동코드,일자,시간대,소계(남녀합계)
C0102,470.38003947334596,397.17377994346447,0102,2022-11-16,9,295
C0103,92.64083211200862,441.54211626721786,0103,2022-11-16,9,165
C0101,372.6122597774344,258.4529873859724,0101,2022-11-16,18,430
C0102,34.90747762865559,355.75262069458296,0102,2022-11-16,18,96
C0103,154.88746290897797,4.969000009136915,0103,2022-11-16,18,283
C0101,115.52449038817441,302.84508878969615,0101,2022-11-17,9,239
C0102,327.70935330585615,409.8360444110059,0102,2022-11-17,9,100
C0103,159.08917036812576,40.99276972748211,0103,2022-11-17,9,127
C0101,178.9544662674525,406.71712637921377,0101,2022-11-17,18,112
C0102,317.1393598563776,433.9438240480925,0102,2022-11-17,18,52
C0103,101.28310144957969,347.41071811839674,0103,2022-11-17,18,497
C0101,233.25835003146832,246.73903047341017,0101,2022-11-18,9,265
C0102,171.25610749970528,338.1409741988837,0102,2022-11-18,9,196
C0103,310.40145859800833,159.25178531371648,0103,2022-11-18,9,165
C0101,289.12064365410123,369.6981724824427,0101,2022-11-18,18,103
C0102,279.31089510725485,1.8253367283206368,0102,2022-11-18,18,152
C0103,389.2896698175059,371.27410263836913,0103,2022-11-18,18,177
C0101,5.205126270746375,235.1481163800892,0101,2022-11-19,9,265
C0102,326.14068814547096,62.49002003249887,0102,2022-11-19,9,246
C0103,310.707616441135,473.4590100805254,0103,2022-11-19,9,264
C0101,168.67820882987905,14.136757185938986,0101,2022-11-19,18,217
C0102,28.697529477715754,465.78622346485923,0102,2022-11-19,18,82
C0103,2.8208502182933692,450.3398431715824,0103,2022-11-19,18,488
C0101,86.98001534041045,280.6793593282148,0101,2022-11-20,9,335
C0102,179.52935528028956,264.49404588535856,0102,2022-11-20,9,355
C0103,313.77109407765266,96.96314969239688,0103,2022-11-20,9,293
C0101,101.94091779274301,5.169232343309349,0101,2022-11-20,18,497
C0102,472.14229605237404,214.56385043207155,0102,2022-11-20,18,198
C0103,137.83565923316172,12.915963395583818,0103,2022-11-20,18,229
C0101,132.28409669007556,196.65017128299095,0101,2022-11-21,9,65
C0102,228.82211006099118,439.5181038520114,0102,2022-11-21,9,284
C0103,455.6649309650745,158.57746090785753,0103,2022-11-21,9,239
C0101,432.4670860601773,463.8174082673748,0101,2022-11-21,18,481
C0102,353.1654411938985,99.13592166277074,0102,2022-11-21,18,380
C0103,454.3257815419716,253.52272996722164,0103,2022-11-21,18,137
C0101,445.2336535768689,360.2739395946585,0101,2022-11-22,9,102
C0102,192.37991003147687,483.9126075112541,0102,2022-11-22,9,145
C0103,9.791380721752175,357.2919315463719,0103,2022-11-22,9,467
C0101,52.07347296181397,135.99642747343933,0101,2022-11-22,18,490
C0102,273.5065603405955,421.8824638733496,0102,2022-11-22,18,494
C0103,29.79802349728583,63.59216166557674,0103,2022-11-22,18,277
C0101,187.97168441628222,161.27033688027447,0101,2022-11-23,9,295
C0102,420.06436809289534,13.440841874367838,0102,2022-11-23,9,148
C0103,414.67212388853886,460.8400868228816,0103,2022-11-23,9,183
C0101,312.67519929388203,74.50885649274092,0101,2022-11-23,18,333
C0102,284.15886910541593,187.5871969690312,0102,2022-11-23,18,448
C0103,291.66477792776567,0.5952335311731338,0103,2022-11-23,18,153
C0101,138.20639577107923,328.02101214421884,0101,2022-11-24,9,266
C0102,72.82027025222443,0.6590558749788866,0102,2022-11-24,9,254
C0103,135.2196570349829,274.52965297756384,0103,2022-11-24,9,223
C0101,65.53594968595993,306.84857150834347,0101,2022-11-24,18,290
C0102,499.4621891125375,292.43345313055164,0102,2022-11-24,18,406
C0103,311.3165617964582,439.83544513036645,0103,2022-11-24,18,287
C0101,472.9996723478176,20.516757876329393,0101,2022-11-25,9,231
C0102,57.88203200298214,386.17689285131996,0102,2022-11-25,9,142
C0103,22.78142947597295,451.31747349556525,0103,2022-11-25,9,57
C0101,301.2734064745618,137.78809699013357,0101,2022-11-25,18,59
C0102,235.28176247053045,220.94295700244126,0102,2022-11-25,18,479
C0103,248.3210505299591,210.61041506327544,0103,2022-11-25,18,387
C0101,365.13855129217717,462.9034596524278,0101,2022-11-26,9,97
C0102,368.35851575127697,243.86104056782577,0102,2022-11-26,9,407
C0103,450.1078991406656,243.15672871084416,0103,2022-11-26,9,438
C0101,401.46113121080504,75.13011780506478,0101,2022-11-26,18,468
C0102,23.49608636367606,370.4278434330328,0102,2022-11-26,18,225
C0103,301.04443979098784,488.11964000867306,0103,2022-11-26,18,358
C0101,272.7015238859805,173.9499335506815,0101,2022-11-27,9,337
C0102,14.205876252728123,289.63211728514995,0102,2022-11-27,9,304
C0103,451.21510252051155,2.1650342590701643,0103,2022-11-27,9,270
C0101,400.9644470495566,53.051564898042635,0101,2022-11-27,18,430
C0102,423.4152465608587,381.7726328667048,0102,2022-11-27,18,66
C0103,122.60696919988656,144.05020792392608,0103,2022-11-27,18,270
C0101,306.13746273599514,123.15199968774832,0101,2022-11-28,9,314
C0102,465.41921557515366,364.6643082531264,0102,2022-11-28,9,196
C0103,368.0370248584905,477.9682110608396,0103,2022-11-28,9,305
C0101,122.24292168632556,328.98698148019764,0101,2022-11-28,18,52
C0102,219.13576696857066,56.40247406618537,0102,2022-11-28,18,145
C0103,23.536267039963366,271.9255560947441,0103,2022-11-28,18,401
C0101,281.2321657712585,317.9806598053269,0101,2022-11-29,9,476
C0102,11.80047061590611,444.49164304034116,0102,2022-11-29,9,192
C0103,464.60239741422794,240.99436345203284,0103,2022-11-29,9,131
C0101,290.4355801117245,157.9649258314606,0101,2022-11-29,18,59
C0102,91.24278841684841,84.47632819060269,0102,2022-11-29,18,437
C0103,165.42050028965588,140.31010784633702,0103,2022-11-29,18,130
C0101,418.21241622659477,247.65735369501212,0101,2022-11-30,9,209
C0102,72.91677855723417,437.94539656058197,0102,2022-11-30,9,242
C0103,27.411102896894523,119.76567943724015,0103,2022-11-30,9,344
C0101,351.1562140051843,400.57828740957353,0101,2022-11-30,18,329
C0102,205.14565073505364,173.37004332070887,0102,2022-11-30,18,211
C0103,284.0473355388632,174.31780757268112,0103,2022-11-30,18,179
C0101,164.04712033796653,8.445426717698268,0101,2022-12-01,9,394
C0102,30.29712216027003,135.43575915546973,0102,2022-12-01,9,476
C0103,460.70981367034807,367.6740976311727,0103,2022-12-01,9,275
C0101,330.4069565976864,48.53002640639775,0101,2022-12-01,18,310
C0102,404.32367182761107,125.05338089130153,0102,2022-12-01,18,485
C0103,115.68730189700938,312.6822081159127,0103,2022-12-01,18,480
C0101,272.66224600608473,71.55154698433435,0101,2022-12-02,9,321
C0102,390.64637736946634,106.29403699955404,0102,2022-12-02,9,213
C0103,481.4286574209765,147.7418193238034,0103,2022-12-02,9,122
C0101,309.4335197949325,235.38912108258265,0101,2022-12-02,18,332
C0102,327.6802320828796,371.7884719133857,0102,2022-12-02,18,66
C0103,279.99730966698957,303.3137040363818,0103,2022-12-02,18,328
C0101,200.97796020097996,35.43658356577506,0101,2022-12-03,9,416
C0102,303.3520215198473,463.5869462087211,0102,2022-12-03,9,121
C0103,12.87027428559112,272.01759853109786,0103,2022-12-03,9,210
C0101,280.86995274225654,374.82867886685085,0101,2022-12-03,18,163
C0102,367.72656608479645,362.44289890906697,0102,2022-12-03,18,183
C0103,36.305343410478805,254.7889169589761,0103,2022-12-03,18,400
C0101,130.8892426860741,460.6352805012065,0101,2022-12-04,9,181
C0102,53.77242367919488,121.62306451508998,0102,2022-12-04,9,402
C0103,227.6101277490723,481.4543109032128,0103,2022-12-04,9,71
C0101,283.9861842710648,170.6437565872792,0101,2022-12-04,18,99
C0102,323.1701708662786,324.35336351135226,0102,2022-12-04,18,51
C0103,392.9047001530331,45.631235667403956,0103,2022-12-04,18,158
C0101,409.0694355436665,105.98342928974702,0101,2022-12-05,9,239
C0102,173.65486345138504,304.88991331094735,0102,2022-12-05,9,315
C0103,133.70892413718872,284.48183597525536,0103,2022-12-05,9,275
C0101,187.22722880860098,413.1946895310946,0101,2022-12-05,18,53
C0102,231.50329325275388,249.63054949498286,0102,2022-12-05,18,406
C0103,217.10479941699117,433.5383638619068,0103,2022-12-05,18,329
C0101,201.6623349240943,471.27621712162534,0101,2022-12-06,9,408
C0102,210.5438913294926,182.90043729931858,0102,2022-12-06,9,444
C0103,338.31400945008414,377.6533743370312,0103,2022-12-06,9,136
C0101,120.52260159324119,73.12625832424646,0101,2022-12-06,18,133
C0102,380.34593909415923,357.2009324895424,0102,2022-12-06,18,356
C0103,268.4373930771715,382.1196796016999,0103,2022-12-06,18,135
C0101,473.5143313716864,89.2613270655157,0101,2022-12-07,9,421
C0102,174.1698918195369,312.4886795666046,0102,2022-12-07,9,186
C0103,68.20942510449358,96.7145346256964,0103,2022-12-07,9,136
C0101,271.0268329280353,80.1931157642291,0101,2022-12-07,18,401
C0102,194.21637400411268,67.24709766586639,0102,2022-12-07,18,454
C0103,200.09964760581784,56.05520581269813,0103,2022-12-07,18,213
C0101,29.91671309302102,440.8009451287653,0101,2022-12-08,9,212
C0102,1.289437606324939,320.6020482120682,0102,2022-12-08,9,449
C0103,46.83950376948992,405.07082276565893,0103,2022-12-08,9,91
C0101,308.30757768511296,306.57772860147105,0101,2022-12-08,18,445
C0102,185.7407545268621,124.73448468143083,0102,2022-12-08,18,76
C0103,66.858611738277,336.1124474304569,0103,2022-12-08,18,274
C0101,235.04344768985925,88.80075301546536,0101,2022-12-09,9,275
C0102,397.66391829286454,294.39973083356546,0102,2022-12-09,9,314
C0103,264.83070582827213,423.858739065405,0103,2022-12-09,9,425
C0101,308.37381391731475,204.84609159728373,0101,2022-12-09,18,54
C0102,96.78307432883464,489.7889250430498,0102,2022-12-09,18,436
C0103,167.6314062211113,84.50421987032335,0103,2022-12-09,18,231
C0101,498.88297562274204,428.0256780148384,0101,2022-12-10,9,423
C0102,282.87693806359164,73.70060543773293,0102,2022-12-10,9,81
C0103,357.8907075064735,242.0417146302185,0103,2022-12-10,9,83
C0101,278.51944563214494,455.3378255514062,0101,2022-12-10,18,99
C0102,170.59734116657626,25.40280738098949,0102,2022-12-10,18,422
C0103,70.89959400472529,237.52600044061683,0103,2022-12-10,18,475
C0101,272.33856392414214,118.54373159062837,0101,2022-12-11,9,196
C0102,56.56944030742983,34.97764117698671,0102,2022-12-11,9,129
C0103,254.0632738401724,421.0103884171582,0103,2022-12-11,9,275
C0101,350.3095142227492,206.31038521179994,0101,2022-12-11,18,107
C0102,17.612119485293064,267.9861550023607,0102,2022-12-11,18,213
C0103,302.6270465202512,174.6615054194356,0103,2022-12-11,18,163
C0101,333.2261591314795,459.2516814655145,0101,2022-12-12,9,299
C0102,469.9202344938488,102.15443012516594,0102,2022-12-12,9,160
C0103,35.34744111168153,96.35049369403987,0103,2022-12-12,9,222
C0101,338.77812263227094,485.4170766307156,0101,2022-12-12,18,416
C0102,354.91365521246536,206.31563251831696,0102,2022-12-12,18,427
C0103,479.06425910422996,395.82746048005293,0103,2022-12-12,18,451
C0101,278.3197929175505,412.8828906527814,0101,2022-12-13,9,285
C0102,450.17501146469317,499.77949124326796,0102,2022-12-13,9,130
C0103,332.5700832276727,97.94451979000424,0103,2022-12-13,9,262
C0101,479.70720280017355,435.67641068416276,0101,2022-12-13,18,114
C0102,374.3394257823835,474.5596268077056,0102,2022-12-13,18,164
C0103,443.8732015011822,81.41015699418958,0103,2022-12-13,18,276
C0101,91.40485905368124,256.17152283019493,0101,2022-12-14,9,469
C0102,216.25963400732883,399.0984931502666,0102,2022-12-14,9,199
C0103,26.70373547112953,360.42191714011483,0103,2022-12-14,9,300
C0101,423.75052514021013,100.94990326783754,0101,2022-12-14,18,89
C0102,367.4694601739978,295.9396994938445,0102,2022-12-14,18,271
C0103,133.76812520945762,28.72965813320455,0103,2022-12-14,18,223
C0101,176.69010345650355,100.26437830058799,0101,2022-12-15,9,316
C0102,369.24906129456707,106.25749550660024,0102,2022-12-15,9,111
C0103,111.57902385808421,170.24072587702182,0103,2022-12-15,9,484
C0101,256.85637214485007,332.2731344202066,0101,2022-12-15,18,258
C0102,294.26102391896364,240.84193986332087,0102,2022-12-15,18,251
C0103,132.89310596461723,354.9713068415197,0103,2022-12-15,18,227
C0101,158.75066019687384,424.7906967629477,0101,2022-12-16,9,131
C0102,316.9721392640903,254.39511543886667,0102,2022-12-16,9,313
C0103,464.27803232602395,210.79778430887225,0103,2022-12-16,9,435
C0101,446.507247885915,302.45346048008577,0101,2022-12-16,18,242
C0102,224.5743578620702,131.07555725836545,0102,2022-12-16,18,304
C0103,400.717156877618,139.73303881186007,0103,2022-12-16,18,160
C0101,2.8688451516828417,9.730319649161823,0101,2022-12-17,9,107
C0102,279.91896831147216,244.51231592969768,0102,2022-12-17,9,490
C0103,458.9380345541651,175.84369949514638,0103,2022-12-17,9,103
C0101,360.9049063900694,238.548241160919,0101,2022-12-17,18,407
C0102,387.3159487293455,482.88919379631864,0102,2022-12-17,18,203
C0103,8.754707250510751,410.7272031321497,0103,2022-12-17,18,140
C0101,201.79353642240682,272.20124675750407,0101,2022-12-18,9,112
C0102,420.89438092643854,360.60312453635566,0102,2022-12-18,9,150
C0103,476.68331409739903,237.6259357998421,0103,2022-12-18,9,151
C0101,255.4276964869493,310.7110454313862,0101,2022-12-18,18,489
C0102,337.06371991084524,244.8857278600874,0102,2022-12-18,18,71
C0103,111.65353235074498,181.18152906645412,0103,2022-12-18,18,303
C0101,350.99662254612406,19.49448000896714,0101,2022-12-19,9,476
C0102,151.8878222712442,135.91791818711107,0102,2022-12-19,9,365
C0103,346.74423217630545,107.47258136037813,0103,2022-12-19,9,162
C0101,495.3395168565358,229.05020392572933,0101,2022-12-19,18,482
C0102,200.7091679211465,39.518728199366414,0102,2022-12-19,18,64
C0103,81.36199827311901,466.52393023804046,0103,2022-12-19,18,400
C0101,495.29636947760514,61.20489004085577,0101,2022-12-20,9,303
C0102,232.9959957838636,270.5729271052599,0102,2022-12-20,9,357
C0103,89.78733982739095,361.7604497224569,0103,2022-12-20,9,339
C0101,442.6499888718688,226.9873071715804,0101,2022-12-20,18,124
C0102,317.43404968377234,460.8955535241645,0102,2022-12-20,18,298
C0103,270.4239417249847,201.33882392167996,0103,2022-12-20,18,382
C0101,231.0675609968521,170.83652980526963,0101,2022-12-21,9,258
C0102,126.42892207382445,204.67314129848617,0102,2022-12-21,9,475
C0103,389.1119623255379,182.17083631303205,0103,2022-12-21,9,265
C0101,121.53632007352444,15.67242085470194,0101,2022-12-21,18,448
C0102,314.3755561259344,254.12672886756522,0102,2022-12-21,18,229
C0103,211.56616294798087,67.79512897909696,0103,2022-12-21,18,469
C0101,164.87276862317495,196.60590498021156,0101,2022-12-22,9,337
C0102,137.25024554458798,275.15666008690255,0102,2022-12-22,9,312
C0103,454.02293278298185,211.86517489928676,0103,2022-12-22,9,290
C0101,114.44929356289802,400.6635225230112,0101,2022-12-22,18,343
C0102,134.8353151800295,289.9013967527784,0102,2022-12-22,18,143
C0103,33.701175030923515,159.83137028051536,0103,2022-12-22,18,185
C0101,106.01533035567462,446.3368842013145,0101,2022-12-23,9,412
C0102,487.211590884461,246.17290586243263,0102,2022-12-23,9,169
C0103,110.53248328382459,195.6720665828478,0103,2022-12-23,9,374
C0101,416.8416269227269,59.98463465323767,0101,2022-12-23,18,132
C0102,436.76387574770666,22.95852422604411,0102,2022-12-23,18,293
C0103,69.94336012138841,342.63277296036864,0103,2022-12-23,18,184
C0101,256.1608654965205,469.6697864239354,0101,2022-12-24,9,169
C0102,20.374546750246747,380.8295315975667,0102,2022-12-24,9,214
C0103,289.75032483785867,413.71765262220697,0103,2022-12-24,9,329
C0101,369.0905806782253,85.53285307473408,0101,2022-12-24,18,241
C0102,499.7632774159205,86.82348743455448,0102,2022-12-24,18,497
C0103,106.21908448136308,391.253992297084,0103,2022-12-24,18,423
C0101,430.6262085137365,438.320453104884,0101,2022-12-25,9,318
C0102,214.40648655831302,416.8955650653682,0102,2022-12-25,9,264
C0103,289.74461147540705,310.63841574426414,0103,2022-12-25,9,163
C0101,223.07850710130333,184.7244440333935,0101,2022-12-25,18,156
C0102,332.6607795440171,98.241640009598,0102,2022-12-25,18,302
C0103,424.3660294990788,273.22283854426615,0103,2022-12-25,18,232
C0101,448.02198866240593,116.26372197834034,0101,2022-12-26,9,90
C0102,250.20811159755257,200.28370365309317,0102,2022-12-26,9,247
C0103,342.24678117376516,74.35990579673518,0103,2022-12-26,9,192
C0101,69.38617523800461,314.5987443937774,0101,2022-12-26,18,283
C0102,415.1240666372335,9.99852334678203,0102,2022-12-26,18,309
C0103,246.3517959051476,360.1271053265686,0103,2022-12-26,18,255
C0101,37.359965987517896,203.010390635048,0101,2022-12-27,9,278
C0102,266.07228075543713,374.92309405663065,0102,2022-12-27,9,403
C0103,182.00489013582904,460.04384094292755,0103,2022-12-27,9,299
C0101,45.58220290139875,264.24295245452316,0101,2022-12-27,18,84
C0102,235.41192451782626,319.23376373245077,0102,2022-12-27,18,343
C0103,113.0141454884378,374.5547838848519,0103,2022-12-27,18,153
C0101,145.88260035233657,363.6458675800011,0101,2022-12-28,9,155
C0102,41.66357666458681,355.56481986803703,0102,2022-12-28,9,338
C0103,439.7576873029628,408.32312867381114,0103,2022-12-28,9,130
C0101,269.8569530693119,456.6686058867108,0101,2022-12-28,18,53
C0102,299.36283709958315,145.16303532655078,0102,2022-12-28,18,50
C0103,342.473764677481,385.62696735643647,0103,2022-12-28,18,137
C0101,456.29238245870016,452.8582917665526,0101,2022-12-29,9,341
C0102,301.938465752892,50.75959292949689,0102,2022-12-29,9,202
C0103,47.23127508189873,35.73428340027329,0103,2022-12-29,9,329
C0101,76.21621311374676,241.16309924431428,0101,2022-12-29,18,467
C0102,216.53618239720362,162.38555481332722,0102,2022-12-29,18,457
C0103,1.3954452367943015,190.0746691597987,0103,2022-12-29,18,291
C0101,239.67203023482702,401.65219310265024,0101,2022-12-30,9,294
C0102,424.88090200897864,188.1491176325606,0102,2022-12-30,9,365
C0103,70.45276389869426,200.52823196652653,0103,2022-12-30,9,412
C0101,107.16379702863426,87.37768148703162,0101,2022-12-30,18,483
C0102,472.16863807953786,474.9615424051064,0102,2022-12-30,18,110
C0103,384.7264307755995,214.87125209288521,0103,2022-12-30,18,117
C0101,246.10785800246083,249.3440732290731,0101,2022-12-31,9,220
C0102,92.3305571250443,386.5318676264091,0102,2022-12-31,9,485
C0103,2.837054179804177,314.30505345440287,0103,2022-12-31,9,383
C0101,376.8531047253439,462.9811814030627,0101,2022-12-31,18,343
C0102,376.9175528278196,366.0719929197544,0102,2022-12-31,18,379
C0103,496.41985458573976,234.20440546196292,0103,2022-12-31,18,164
C0101,208.72505113961154,250.93878663854673,0101,2023-01-01,9,157
C0102,296.81878561297725,174.81229489251322,0102,2023-01-01,9,227
C0103,119.97242447229794,463.9974508978698,0103,2023-01-01,9,397
C0101,248.12270639034435,481.0736719721517,0101,2023-01-01,18,467
C0102,207.8585799221787,193.68943423330924,0102,2023-01-01,18,227
C0103,316.45850151158686,381.25868499844114,0103,2023-01-01,18,462
C0101,206.37191578201063,203.50083223800758,0101,2023-01-02,9,89
C0102,483.37194230688664,113.97948342105302,0102,2023-01-02,9,87
C0103,247.1335318169655,57.305135923035266,0103,2023-01-02,9,223
C0101,195.43772512388352,383.8309370462138,0101,2023-01-02,18,341
C0102,264.18932724398246,64.73965759246886,0102,2023-01-02,18,120
C0103,106.22434115015223,362.1732474102278,0103,2023-01-02,18,54
C0101,414.25706380043175,170.66751782980722,0101,2023-01-03,9,73
C0102,120.006645229278,440.2216204599804,0102,2023-01-03,9,291
C0103,482.60357295459096,376.47001186346995,0103,2023-01-03,9,495
C0101,218.55929030945947,495.2528408749884,0101,2023-01-03,18,89
C0102,114.69241465663238,335.2358350877394,0102,2023-01-03,18,478
C0103,386.60169413169365,304.43007783213943,0103,2023-01-03,18,472
C0101,253.35257944778127,464.4071811685166,0101,2023-01-04,9,215
C0102,450.63449994227653,215.52646450378538,0102,2023-01-04,9,227
C0103,378.27251187941397,457.85694963373834,0103,2023-01-04,9,199
C0101,154.939924167129,25.493359829337148,0101,2023-01-04,18,297
C0102,404.62998175238755,311.0049603467086,0102,2023-01-04,18,394
C0103,438.70582658079485,460.15138188790064,0103,2023-01-04,18,168
C0101,443.5830397564379,300.75894917809177,0101,2023-01-05,9,350
C0102,437.402815600884,52.13020247282968,0102,2023-01-05,9,489
C0103,490.5529879796722,274.4031863349254,0103,2023-01-05,9,467
C0101,380.1707174163409,323.7833376777093,0101,2023-01-05,18,464
C0102,163.3361908281818,13.515011792167076,0102,2023-01-05,18,435
C0103,342.91016143679775,431.55745343578997,0103,2023-01-05,18,174
C0101,1.173298557739788,103.98688689341112,0101,2023-01-06,9,340
C0102,141.81755216020315,70.85142702680774,0102,2023-01-06,9,352
C0103,40.96804911176161,318.939498412278,0103,2023-01-06,9,428
C0101,429.30678607483463,157.41883362263238,0101,2023-01-06,18,317
C0102,68.35930916777639,399.57754434509224,0102,2023-01-06,18,323
C0103,180.19477030910934,432.67480711996507,0103,2023-01-06,18,494
C0101,381.2727353804312,455.7926473793741,0101,2023-01-07,9,156
C0102,50.65075241191214,59.17810318246436,0102,2023-01-07,9,240
C0103,381.599210229021,431.66591974918396,0103,2023-01-07,9,72
C0101,29.785444618572964,33.353020179894834,0101,2023-01-07,18,255
C0102,299.3001750312119,459.3121751074851,0102,2023-01-07,18,224
C0103,325.3099075995779,271.00388447838577,0103,2023-01-07,18,229
C0101,444.87892222603074,416.1938058211176,0101,2023-01-08,9,244
C0102,338.77154927985924,423.7515929047691,0102,2023-01-08,9,139
