매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
11,202012,06-12,50177,20대,F,취업준비,사무직,4000-6000,3,0.2349,1,0.7864,4,0.9659,4,0.5912,3,0.5656,3,0.0044,1,0.8943,5,0.0857,5,0.0579,4,0.5735,1,0.4406,2,0.9619,3,0.2208,5,0.7092,5,0.7636,4,0.9122,3,1,1,3,2,4,3,1,3,2,1,5,5,3,3,2,4,Y,경남,시군구4,행정동1,상권유형A,Monday,N,85,52,159793,8,P62412,간식,21183,2,100,식음료,110,음료,121,과자
12,202105,18-24,39899,20대,M,자영업,전문의,0-2000,2,0.5318,3,0.1484,4,0.7197,4,0.4363,4,0.8529,2,0.2057,4,0.448,1,0.6017,4,0.1649,4,0.5085,3,0.8601,2,0.5294,4,0.0142,2,0.7026,1,0.3197,1,0.6592,3,5,4,3,1,4,5,1,5,1,2,4,3,5,1,5,5,N,충남,시군구4,행정동1,상권유형B,Friday,N,258,1,176956,2,P86329,간식,48757,2,100,식음료,120,스낵,112,사이다
13,202102,00-06,16164,40대,F,자영업,자영업자,0-2000,4,0.2044,4,0.1794,2,0.6769,5,0.2503,2,0.6701,3,0.258,1,0.7873,5,0.9981,5,0.973,3,0.9868,5,0.3628,1,0.8802,2,0.8241,4,0.886,2,0.8393,4,0.9095,5,5,4,5,2,4,1,1,3,4,2,5,4,4,2,2,2,N,울산,시군구5,행정동1,상권유형B,Tuesday,Y,431,10,101256,8,P11309,음료,7658,3,300,서비스,310,헬스,121,과자
14,202103,06-12,92263,40대,F,직장인,생산직,4000-6000,3,0.7262,4,0.7521,5,0.3614,1,0.8074,3,0.2885,2,0.7022,1,0.9553,2,0.3748,2,0.6236,5,0.2296,4,0.5038,2,0.2621,3,0.7227,1,0.7612,3,0.9621,2,0.6175,2,5,3,1,2,5,3,5,5,5,4,1,3,5,2,5,1,N,충북,시군구5,행정동4,상권유형C,Wednesday,Y,334,95,177239,1,P52839,생필품,7356,1,300,서비스,310,헬스,112,사이다
15,202102,12-18,65118,50대,F,직장인,생산직,6000-8000,5,0.197,5,0.1495,4,0.0023,5,0.1759,5,0.975,2,0.5093,2,0.7963,2,0.1629,5,0.8311,2,0.3979,2,0.0216,5,0.5597,1,0.1603,3,0.8246,1,0.474,4,0.4545,5,1,1,2,2,5,5,2,4,5,2,4,1,5,2,1,2,N,부산,시군구3,행정동2,상권유형C,Thursday,N,358,45,108674,1,P33982,도시락,12677,1,100,식음료,210,주택,112,사이다
16,202103,18-24,32596,30대,F,학생,자영업자,0-2000,1,0.2913,5,0.4694,5,0.2409,3,0.933,1,0.571,5,0.7474,4,0.4158,5,0.2686,2,0.0215,3,0.7599,4,0.2242,5,0.5394,5,0.4896,5,0.3209,5,0.6523,3,0.1347,3,5,2,4,1,4,3,4,4,1,3,2,3,1,2,3,2,N,제주,시군구2,행정동2,상권유형A,Friday,N,76,92,156218,8,P98836,스낵,24242,1,200,생활,220,의류,211,의류
17,202012,06-12,41979,20대,M,취업준비,전문의,4000-6000,2,0.5065,2,0.7316,4,0.7639,5,0.8846,2,0.5168,1,0.5129,3,0.3778,4,0.5708,5,0.7655,2,0.7131,5,0.4637,1,0.7687,5,0.1604,4,0.9731,2,0.3645,4,0.3977,3,3,2,4,1,2,1,4,3,4,2,1,2,2,4,5,1,N,강원,시군구1,행정동5,상권유형A,Saturday,N,423,52,109028,9,P23140,생필품,41727,4,300,서비스,210,주택,121,과자
18,202007,06-12,72891,60대,F,학생,자영업자,0-2000,4,0.4867,4,0.6512,4,0.7099,4,0.3606,1,0.4035,4,0.3274,2,0.2915,3,0.569,3,0.485,1,0.9667,2,0.399,3,0.7731,4,0.6026,2,0.6616,4,0.3541,4,0.5976,5,3,4,2,4,5,5,1,2,2,4,2,1,4,5,2,3,N,서울,시군구1,행정동3,상권유형C,Friday,N,265,14,103078,4,P15595,도시락,22035,3,300,서비스,310,헬스,111,콜라
19,202104,00-06,72236,20대,F,자영업,생산직,2000-4000,1,0.6008,1,0.2106,1,0.331,4,0.3052,3,0.1363,1,0.1037,2,0.3671,2,0.2298,3,0.6653,4,0.6543,5,0.7147,5,0.2853,5,0.6476,5,0.7737,3,0.4697,3,0.9308,3,2,2,5,3,5,1,1,4,1,2,5,1,1,3,4,3,N,대전,시군구5,행정동1,상권유형C,Monday,N,228,73,141331,2,P73248,간식,19007,1,200,생활,110,음료,122,초콜릿
20,202011,00-06,46648,20대,F,자영업,서비스직,6000-8000,2,0.4374,5,0.304,3,0.6256,1,0.1375,4,0.6862,3,0.2026,5,0.8206,3,0.7507,1,0.3582,1,0.3131,4,0.6119,4,0.8859,4,0.2767,5,0.8589,3,0.1971,4,0.8293,1,3,2,5,4,3,3,4,2,3,4,3,2,1,3,4,5,N,울산,시군구5,행정동2,상권유형B,Tuesday,N,26,48,153669,6,P34420,스낵,42546,3,300,서비스,220,의류,112,사이다
21,202012,00-06,30987,30대,F,취업준비,전문의,2000-4000,4,0.9195,2,0.969,1,0.1953,4,0.9163,1,0.4308,4,0.4008,3,0.7015,4,0.088,5,0.6209,2,0.3977,1,0.8803,4,0.8915,5,0.7808,3,0.1238,5,0.6894,5,0.5131,2,3,2,4,3,1,1,4,4,5,1,5,4,1,4,2,4,Y,제주,시군구4,행정동3,상권유형B,Friday,N,446,38,131069,3,P29702,도시락,13185,4,100,식음료,120,스낵,111,콜라
22,202010,00-06,66335,30대,M,취업준비,무직,2000-4000,3,0.8399,4,0.4487,4,0.2636,3,0.6275,3,0.9346,5,0.5515,2,0.2499,1,0.623,2,0.0356,4,0.0897,2,0.8548,3,0.9482,3,0.4736,5,0.3364,5,0.1656,3,0.448,3,4,1,4,3,5,2,3,4,5,4,1,5,1,4,4,3,N,경남,시군구5,행정동3,상권유형C,Wednesday,N,313,21,125266,3,P56659,음료,18623,4,300,서비스,120,스낵,122,초콜릿
23,202008,18-24,66165,50대,F,취업준비,전문의,8000+,4,0.8791,5,0.0445,4,0.9474,5,0.0318,3,0.9651,2,0.9386,4,0.7115,1,0.4257,3,0.0456,2,0.9237,5,0.2412,2,0.4576,2,0.7064,1,0.8359,3,0.0052,1,0.0333,2,2,5,3,3,3,2,2,3,4,4,4,5,4,3,4,4,N,광주,시군구2,행정동4,상권유형C,Monday,N,156,44,118084,1,P93615,도시락,12822,4,100,식음료,220,의류,112,사이다
24,202105,18-24,60369,50대,M,은퇴,자영업자,0-2000,3,0.6295,4,0.2196,3,0.4132,4,0.511,4,0.7676,1,0.2397,2,0.3794,2,0.1272,1,0.7988,5,0.1287,2,0.0176,5,0.9874,5,0.6398,2,0.922,3,0.4395,1,0.3512,1,1,3,3,2,3,2,3,5,3,1,3,4,2,1,3,2,N,대구,시군구4,행정동5,상권유형B,Thursday,N,267,96,156840,6,P22225,도시락,5954,1,200,생활,220,의류,111,콜라
25,202103,18-24,8212,40대,F,직장인,사무직,0-2000,5,0.635,5,0.3424,2,0.245,1,0.0858,2,0.2425,4,0.6661,2,0.5578,3,0.6344,5,0.1245,1,0.5457,5,0.8545,1,0.7849,1,0.4508,5,0.7561,4,0.0764,3,0.9813,2,3,3,3,2,4,5,4,1,3,1,2,5,5,3,2,1,N,서울,시군구2,행정동1,상권유형B,Wednesday,N,454,22,140007,2,P58519,스낵,29367,1,200,생활,210,주택,111,콜라
26,202101,00-06,47805,20대,M,자영업,무직,8000+,5,0.6092,1,0.9995,1,0.4871,5,0.5738,1,0.716,5,0.1525,4,0.3704,5,0.673,2,0.014,3,0.4014,3,0.3291,5,0.6532,3,0.2927,5,0.4823,4,0.5624,3,0.741,3,4,2,5,5,1,3,1,2,2,2,3,2,1,1,3,3,N,충북,시군구2,행정동2,상권유형C,Saturday,N,419,57,190841,7,P42060,생필품,48452,4,100,식음료,310,헬스,122,초콜릿
27,202010,00-06,61777,30대,M,직장인,서비스직,4000-6000,5,0.4349,1,0.3027,4,0.387,1,0.509,1,0.0204,3,0.7138,2,0.5216,2,0.44,4,0.9125,1,0.1342,2,0.3471,5,0.4323,4,0.2043,5,0.2511,5,0.5204,4,0.5247,1,1,1,1,3,5,2,1,2,1,5,4,5,3,4,1,3,N,경기,시군구4,행정동4,상권유형B,Sunday,N,149,4,143493,2,P26778,간식,13212,4,200,생활,110,음료,112,사이다
28,202103,06-12,95056,30대,M,자영업,무직,0-2000,1,0.3221,4,0.0264,4,0.7295,2,0.0828,3,0.8264,1,0.0113,3,0.7298,4,0.798,4,0.2655,1,0.293,5,0.1584,2,0.8424,4,0.7459,1,0.525,2,0.1373,4,0.8623,3,5,4,1,5,1,2,2,5,3,2,1,5,4,5,3,2,N,강원,시군구1,행정동1,상권유형B,Monday,N,399,70,159886,9,P56797,생필품,4065,1,300,서비스,110,음료,112,사이다
29,202012,12-18,53030,20대,F,직장인,생산직,4000-6000,3,0.592,3,0.5129,3,0.9621,2,0.8159,3,0.4936,3,0.6559,4,0.7311,5,0.5093,3,0.5824,4,0.6336,4,0.693,3,0.7641,4,0.6419,2,0.3973,1,0.246,1,0.0231,4,5,4,3,4,2,3,1,3,1,3,4,1,2,4,2,5,N,광주,시군구3,행정동3,상권유형C,Saturday,N,4,89,195724,7,P96557,음료,46798,3,300,서비스,120,스낵,121,과자
30,202011,06-12,34928,30대,M,취업준비,무직,4000-6000,1,0.0255,1,0.0836,4,0.5917,5,0.2623,5,0.9367,2,0.1632,2,0.7532,3,0.2858,1,0.8389,1,0.0313,2,0.2801,5,0.5856,3,0.2809,4,0.8856,1,0.0245,4,0.9576,3,3,1,3,4,3,2,1,2,1,3,2,2,4,5,2,3,N,전남,시군구3,행정동1,상권유형A,Sunday,Y,216,97,194058,5,P33488,도시락,5759,3,100,식음료,110,음료,112,사이다
31,202011,06-12,56023,30대,M,은퇴,무직,2000-4000,2,0.0075,4,0.2741,4,0.5911,1,0.5415,3,0.3778,3,0.1803,1,0.391,5,0.9536,2,0.7459,5,0.966,4,0.1767,3,0.9971,5,0.9671,1,0.5673,3,0.594,5,0.6997,4,5,5,1,5,4,5,3,5,4,2,5,2,5,3,2,3,Y,강원,시군구3,행정동3,상권유형C,Friday,N,274,81,149852,4,P29672,생필품,2943,4,200,생활,310,헬스,111,콜라
32,202008,00-06,18546,20대,F,자영업,자영업자,4000-6000,2,0.8516,1,0.9924,3,0.3648,5,0.639,1,0.2632,1,0.5589,5,0.6905,5,0.944,4,0.0466,3,0.9091,2,0.5034,2,0.2495,2,0.8103,5,0.3921,2,0.2929,2,0.0133,4,2,5,4,4,1,2,5,3,5,3,1,1,4,3,3,4,N,경남,시군구4,행정동1,상권유형C,Friday,N,329,67,120861,3,P24814,음료,36968,1,300,서비스,210,주택,111,콜라
33,202007,12-18,9978,40대,M,자영업,무직,6000-8000,4,0.0464,5,0.7046,1,0.5646,2,0.9623,4,0.9951,2,0.3754,2,0.2387,4,0.0956,3,0.5609,3,0.0846,5,0.7504,1,0.6418,1,0.1268,5,0.4985,5,0.713,5,0.7055,3,1,5,1,5,3,4,4,2,4,1,2,1,4,3,1,2,N,인천,시군구2,행정동4,상권유형B,Thursday,N,1,58,139538,1,P65648,스낵,8214,2,200,생활,210,주택,111,콜라
34,202012,06-12,68131,40대,M,은퇴,전문의,2000-4000,3,0.5248,1,0.0507,5,0.3193,4,0.4938,1,0.5307,5,0.4713,2,0.4774,2,0.9461,3,0.5418,5,0.8684,1,0.2696,3,0.3211,4,0.1626,5,0.9336,5,0.6298,5,0.0831,5,4,3,2,4,1,3,2,5,5,4,5,5,3,2,1,3,N,광주,시군구1,행정동3,상권유형A,Thursday,N,152,87,126832,1,P34150,생필품,49801,3,100,식음료,210,주택,211,의류
35,202104,00-06,98632,20대,M,취업준비,무직,8000+,5,0.615,3,0.4487,3,0.0011,1,0.9173,2,0.8632,1,0.3089,3,0.5831,2,0.7755,2,0.3501,2,0.3286,4,0.722,2,0.4578,2,0.544,5,0.6133,1,0.3736,3,0.6396,4,4,4,3,4,5,2,3,1,3,1,2,1,5,5,2,5,N,충북,시군구4,행정동5,상권유형C,Monday,N,129,1,148693,6,P63304,음료,21733,4,100,식음료,110,음료,211,의류
36,202006,12-18,84754,30대,M,학생,서비스직,4000-6000,2,0.1982,5,0.1716,4,0.8661,2,0.3549,4,0.9111,5,0.9535,1,0.6865,5,0.1066,3,0.7536,2,0.0675,1,0.462,5,0.3389,3,0.1024,2,0.229,5,0.0217,4,0.3009,5,5,1,1,4,2,3,3,5,4,3,1,4,4,1,3,4,Y,전북,시군구1,행정동1,상권유형C,Tuesday,N,194,24,114874,8,P17431,도시락,33667,4,200,생활,220,의류,122,초콜릿
37,202104,18-24,58782,50대,F,직장인,사무직,8000+,4,0.8957,3,0.1229,5,0.4294,4,0.8574,2,0.5185,3,0.2907,1,0.912,3,0.5193,1,0.964,3,0.3061,4,0.4038,5,0.3346,3,0.9643,5,0.5001,4,0.3202,5,0.2121,4,2,3,4,5,3,1,2,1,2,2,3,5,1,5,2,5,N,광주,시군구5,행정동5,상권유형C,Friday,N,346,5,140275,7,P73296,음료,10809,2,100,식음료,310,헬스,121,과자
38,202103,00-06,4985,40대,F,취업준비,전문의,0-2000,4,0.1901,4,0.5871,2,0.4921,4,0.2358,3,0.4557,3,0.542,3,0.3048,1,0.035,3,0.1472,4,0.8089,5,0.3595,2,0.3768,2,0.638,2,0.4657,2,0.3249,5,0.6281,5,1,1,3,2,4,3,5,3,3,3,4,4,4,5,3,1,N,강원,시군구5,행정동3,상권유형B,Thursday,N,39,23,107833,8,P27633,스낵,10982,2,200,생활,110,음료,211,의류
39,202009,06-12,98809,50대,F,직장인,자영업자,2000-4000,5,0.8845,4,0.5057,4,0.0835,5,0.7075,3,0.5529,5,0.8544,5,0.8453,4,0.5889,1,0.1452,5,0.6658,4,0.1456,2,0.0567,5,0.0662,1,0.3104,2,0.3327,2,0.434,3,4,5,3,5,1,4,5,3,1,3,3,3,1,5,1,4,N,강원,시군구2,행정동3,상권유형C,Tuesday,N,375,23,197360,7,P17853,생필품,39041,1,100,식음료,120,스낵,211,의류
40,202101,18-24,45513,30대,M,취업준비,자영업자,6000-8000,2,0.763,5,0.7429,1,0.8371,5,0.0886,5,0.8477,2,0.6642,3,0.3111,2,0.9332,4,0.7347,3,0.2386,3,0.3326,2,0.0399,2,0.4435,2,0.7363,1,0.9534,4,0.0645,1,2,5,3,3,1,3,5,5,4,4,3,1,5,1,3,4,N,충남,시군구4,행정동4,상권유형C,Wednesday,N,51,44,101050,4,P15491,스낵,25741,2,100,식음료,220,의류,121,과자
41,202007,12-18,29676,50대,M,취업준비,전문의,8000+,4,0.2407,3,0.8923,5,0.1703,3,0.9861,2,0.9647,5,0.3228,3,0.5519,5,0.3682,3,0.4544,2,0.7192,5,0.8793,3,0.7249,4,0.222,4,0.2683,3,0.1646,3,0.8223,1,1,1,4,1,5,1,3,5,3,4,1,3,2,5,3,5,N,충남,시군구3,행정동4,상권유형A,Friday,N,253,69,188882,9,P81360,도시락,45868,4,200,생활,220,의류,122,초콜릿
42,202103,18-24,89356,20대,M,취업준비,전문의,2000-4000,1,0.1507,5,0.2467,1,0.4106,2,0.9539,5,0.3283,2,0.5524,4,0.8281,5,0.5086,5,0.7952,5,0.7078,1,0.1022,4,0.3109,1,0.4905,5,0.4925,1,0.2701,3,0.2661,5,4,3,4,1,3,3,4,5,3,2,2,2,4,2,2,5,N,인천,시군구4,행정동5,상권유형B,Tuesday,N,409,88,192793,2,P95726,생필품,46106,1,100,식음료,120,스낵,111,콜라
43,202102,06-12,74893,30대,M,취업준비,전문의,8000+,3,0.3162,3,0.923,3,0.8403,2,0.4422,4,0.7386,2,0.083,5,0.7231,1,0.2276,3,0.1411,3,0.7429,3,0.9583,1,0.0212,5,0.247,4,0.441,1,0.8324,4,0.6182,4,1,3,4,4,2,1,4,5,5,3,1,5,4,2,1,1,N,부산,시군구2,행정동5,상권유형A,Tuesday,N,439,60,195983,3,P47505,스낵,30209,4,300,서비스,110,음료,111,콜라
44,202010,06-12,75212,20대,F,자영업,무직,0-2000,3,0.398,5,0.518,2,0.4578,5,0.5239,4,0.2854,3,0.5457,5,0.8629,5,0.5409,1,0.0399,5,0.5407,5,0.1075,5,0.0815,5,0.8318,2,0.4669,4,0.9252,5,0.6094,2,5,4,2,5,4,2,4,5,1,2,5,5,2,4,4,3,N,광주,시군구5,행정동2,상권유형B,Sunday,Y,485,4,145173,7,P24491,간식,39153,2,100,식음료,220,의류,211,의류
45,202006,12-18,28497,30대,F,직장인,무직,4000-6000,5,0.2458,4,0.2588,1,0.9312,4,0.5978,1,0.611,4,0.4314,1,0.8149,5,0.8026,2,0.6979,3,0.8189,2,0.362,4,0.1958,1,0.7211,4,0.5668,3,0.4683,1,0.0562,3,2,3,4,4,5,4,1,3,3,2,2,2,5,2,2,5,N,대구,시군구5,행정동2,상권유형A,Thursday,N,216,10,177319,1,P84204,도시락,42773,1,100,식음료,120,스낵,121,과자
46,202105,00-06,99188,30대,M,직장인,사무직,2000-4000,4,0.9989,1,0.8458,3,0.2093,5,0.275,1,0.8048,2,0.7579,3,0.2763,4,0.2153,5,0.9947,1,0.6414,1,0.6063,1,0.0482,4,0.9066,3,0.6833,3,0.54,5,0.9973,1,4,5,1,4,4,5,5,5,2,2,4,1,3,5,3,5,N,강원,시군구3,행정동5,상권유형C,Thursday,N,245,44,193885,7,P10114,간식,29308,3,100,식음료,310,헬스,211,의류
47,202011,00-06,45833,20대,F,학생,전문의,4000-6000,5,0.2297,4,0.0355,5,0.7152,3,0.6745,4,0.8865,4,0.8479,3,0.9929,2,0.5535,5,0.0948,5,0.1254,3,0.8378,2,0.9461,3,0.198,3,0.143,2,0.0529,2,0.4477,5,3,2,1,5,3,5,5,4,4,3,2,5,3,3,4,1,N,강원,시군구5,행정동5,상권유형B,Monday,N,450,61,183798,3,P38725,도시락,40129,2,200,생활,120,스낵,121,과자
48,202104,12-18,53609,50대,F,직장인,생산직,8000+,5,0.8306,5,0.5595,1,0.978,3,0.6986,3,0.4487,1,0.1996,2,0.937,4,0.3546,1,0.8643,4,0.8103,3,0.1436,4,0.5684,1,0.3854,2,0.2883,3,0.808,5,0.2054,3,3,2,5,5,4,3,4,2,4,4,4,5,3,1,1,3,N,서울,시군구2,행정동5,상권유형B,Monday,Y,64,82,186400,7,P96163,생필품,1813,3,200,생활,310,헬스,111,콜라
49,202102,12-18,75344,30대,M,학생,자영업자,6000-8000,3,0.1591,1,0.7216,2,0.5496,5,0.5251,2,0.3698,4,0.0815,5,0.4302,5,0.7479,4,0.3853,2,0.3238,5,0.1411,3,0.394,4,0.8055,1,0.7728,2,0.5946,1,0.4367,2,2,4,1,5,5,2,3,5,4,4,1,5,2,2,4,2,Y,경북,시군구4,행정동5,상권유형B,Friday,N,454,38,148979,7,P45195,생필품,8352,4,100,식음료,310,헬스,111,콜라
